time,station_id,part_id,activity
2025-09-05T12:34:54.704610,station22,p6,LOAD
2025-09-05T12:34:54.958794,splitter1,p5,TRANSFER
2025-09-05T12:34:55.722422,station11,p8,TRANSFER
2025-09-05T12:34:56.479173,station11,p9,LOAD
2025-09-05T12:34:57.988188,station22,p6,PROCESS
2025-09-05T12:34:58.542638,station21,p8,PASS
2025-09-05T12:34:59.022772,station31,p4,TRANSFER
2025-09-05T12:34:59.770930,station31,p5,LOAD
2025-09-05T12:34:59.936580,station11,p9,PROCESS
2025-09-05T12:35:00.835995,station41,p4,LOAD
2025-09-05T12:35:01.857159,station21,p8,TRANSFER
2025-09-05T12:35:02.334404,station52,p2,UNLOAD
2025-09-05T12:35:03.151018,station31,p5,PROCESS
2025-09-05T12:35:03.680088,station22,p8,PASS
2025-09-05T12:35:04.166078,splitter4,p1,RETURN
2025-09-05T12:35:04.298318,splitter2,p3,RETURN
2025-09-05T12:35:04.315028,station41,p4,PROCESS
2025-09-05T12:35:06.782035,station41,p4,UNLOAD
2025-09-05T12:35:07.009411,station22,p8,TRANSFER
2025-09-05T12:35:07.187381,splitter4,p1,TRANSFER
2025-09-05T12:35:07.218457,splitter2,p3,TRANSFER
2025-09-05T12:35:07.623428,splitter3,p2,RETURN
2025-09-05T12:35:08.139600,station52,p2,TRANSFER
2025-09-05T12:35:08.470017,splitter1,p8,RETURN
2025-09-05T12:35:09.942510,station11,p9,FAIL
2025-09-05T12:35:10.594151,splitter3,p2,TRANSFER
2025-09-05T12:35:11.431462,splitter1,p8,TRANSFER
2025-09-05T12:35:12.116296,station51,p4,LOAD
2025-09-05T12:35:12.156403,station31,p5,FAIL
2025-09-05T12:35:12.429801,station21,p3,PASS
2025-09-05T12:35:12.739835,station41,p4,TRANSFER
2025-09-05T12:35:13.581250,station41,p1,LOAD
2025-09-05T12:35:15.526319,station51,p4,PROCESS
2025-09-05T12:35:15.752246,station21,p3,TRANSFER
2025-09-05T12:35:17.121783,station41,p1,PROCESS
2025-09-05T12:35:17.401355,station22,p3,PASS
2025-09-05T12:35:19.634788,station41,p1,UNLOAD
2025-09-05T12:35:20.726114,station22,p3,TRANSFER
2025-09-05T12:35:21.063483,station21,p7,UNLOAD
2025-09-05T12:35:22.129237,splitter2,p8,RETURN
2025-09-05T12:35:22.241085,splitter1,p3,RETURN
2025-09-05T12:35:23.249753,station31,p5,UNLOAD
2025-09-05T12:35:24.918346,splitter4,p2,RETURN
2025-09-05T12:35:24.919627,station51,p1,PASS
2025-09-05T12:35:25.047867,splitter2,p8,TRANSFER
2025-09-05T12:35:25.137752,splitter1,p3,TRANSFER
2025-09-05T12:35:25.378117,station41,p1,TRANSFER
2025-09-05T12:35:26.282589,station22,p7,PASS
2025-09-05T12:35:26.661136,station21,p7,TRANSFER
2025-09-05T12:35:27.901520,splitter4,p2,TRANSFER
2025-09-05T12:35:28.324408,station51,p1,TRANSFER
2025-09-05T12:35:29.606032,station22,p7,TRANSFER
2025-09-05T12:35:29.766455,station31,p5,TRANSFER
2025-09-05T12:35:29.848682,station52,p1,LOAD
2025-09-05T12:35:30.166847,station21,p8,LOAD
2025-09-05T12:35:31.585963,station41,p5,LOAD
2025-09-05T12:35:31.678994,splitter1,p7,FORWARD
